data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro
2020-08-02 01:58:38.796502;TR60 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL CPC                  ;PCA RUI BARBOSA
2020-08-02 01:58:38.796502;831  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL DE PERCURSO CAIRU    ;TERM CAIRU
2020-08-02 01:58:38.796502;690  ;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM. COMENDADOR TAVARES      ;R COMENDADOR TAVARES
2020-08-02 01:58:38.796502;A16  ;BAIRROCENTROBAIRRO;1;TERMINAL/PARADA;TERM. DORIVAL C MACHADO/RUA A ;DORIVAL CASTILHO MACHADO             
2020-08-02 01:58:38.796502;TR60 ;BAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL TRIÂNGULO            ;AV ASSIS BRASIL
2020-08-02 01:58:38.796502;345  ;BAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL BAIRRO BORBOREMA     ;BORBOREMA                            
2020-08-02 01:58:38.796502;439  ;BAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL BAIRRO DR. LOSSIO    ;DR LOSSIO                            
2020-08-02 01:58:38.796502;250  ;BAIRROCENTRO;1;TERMINAL/PARADA;ESTR. BARCELLOS               ;BARCELLOS                            
2020-08-02 01:58:38.796502;B093;BAIRROTERMINAL;4000;TERMINAL/PARADA;TERM.URBANO AEROPORTO/TRENSURB;AV SEVERO DULLIUS
2020-08-02 01:58:38.796502;GT9  ;NORTELESTE;99999;TERMINAL/PARADA;TERM.RUA ALBION FRENTE CARRIS ;R ALBION
2020-08-02 01:58:38.796502;2802 ;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.PROF.CECILIA CORSEUIL,285;PROF CECILIA CORSEUIL                
2020-08-02 01:58:38.796502;718  ;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM. BAIRRO ILHA MAUA        ;R ILHA MAUA
2020-08-02 01:58:38.796502;1112 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. LOUREIRO DA SILVA       ;LOUREIRO DA SILVA                    
2020-08-02 01:58:38.796502;282  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;346  ;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;186  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. SEN. SALGADO FILHO      ;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;1716;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL SEN. SALGADO FILHO   ;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;E149 ;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. CENTRO SEN.SALGADO FILHO;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;T39  ;SULNORTE;1;TERMINAL/PARADA;TERM.SUL AV DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   
2020-08-02 01:58:38.796502;T53;NORTESUL;950;TERMINAL/PARADA;TERMINAL SUL PERI MACHADO     ;PERI MACHADO                         
2020-08-02 01:58:38.796502;E17  ;BAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL AUGUSTO DE CARVALHO  ;AUGUSTO DE CARVALHO                  
2020-08-02 01:58:38.796502;EC02 ;LESTESUL;99999;TERMINAL/PARADA;TERM. AV. BORGES DE MEDEIROS  ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;E17  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;1795;BAIRROCENTRO;1;TERMINAL/PARADA;TERMINAL CARIJÓS/PRAÇA MOEMA  ;PCA MOEMA
2020-08-02 01:58:38.796502;M79  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. AV. SEN. SALGADO FILHO  ;SENADOR SALGADO FILHO                
2020-08-02 01:58:38.796502;272  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;188  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL URUGUAI              ;R URUGUAI
2020-08-02 01:58:38.796502;4733 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL AV.BORGES DE MEDEIROS;AV BORGES DE MEDEIROS
2020-08-02 01:58:38.796502;210  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. B. DE MEDEIROS DF Nº 688;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;341  ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;2682 ;BAIRROCENTRO;99999;TERMINAL/PARADA;TERMINAL BORGES DE MEDEIROS   ;BORGES DE MEDEIROS                   
2020-08-02 01:58:38.796502;2675 ;BAIRROTERMINAL;99999;TERMINAL/PARADA;TERMINAL AV CAVALHADA, 1902   ;CAVALHADA                            
2020-08-02 01:58:38.796502;C2   ;CENTROBAIRROCENTRO;1;TERMINAL/PARADA;TERM LG VISCONDE DO CAIRÚ     ;VISCONDE DO CAIRU                    
